Company,Industry,Status,RegistrationNo,GSTNo
Reliance Industries Ltd,Energy,Verified,10001,27AAACR5055K1Z8
Tata Consultancy Services,IT Services,Verified,10002,27AAACT2702F1ZN
HDFC Bank Ltd,Banking,Pending,10003,27AAACH2702H1Z9
Infosys Ltd,IT Services,Verified,10004,29AAACI4798L1ZJ
ICICI Bank Ltd,Banking,Flagged,10005,27AAACI1195H1Z2
Bharti Airtel Ltd,Telecom,Verified,10006,29AAACB2894G1ZL
State Bank of India,Banking,Verified,10007,27AAACS8577K1Z9
Larsen & Toubro Ltd,Engineering,Pending,10008,27AAACL0140P1ZP
Wipro Ltd,IT Services,Verified,10009,29AAACW5949R1ZJ
Bajaj Finance Ltd,Finance,Flagged,10010,27AAACB4186M1ZL
AgroBloom Enterprises,Agriculture,Pending,10011,32XYZE5678K2Z7
BuildRight Constructions,Real Estate,Flagged,10012,29LMNO3456P3Z9
AquaNova Systems,Manufacturing,Verified,10013,33PQRS7890Q4Z1
EduBright Solutions,Education,Pending,10014,27UVWX2345R5Z2
CloudNova Technologies,IT Services,Verified,10015,27CLDNV1234F1Z8
GreenWorks Agro,Agriculture,Flagged,10016,32GRNWK5678K2Z7
Skyline Builders,Real Estate,Verified,10017,29SKYBL3456P3Z9
MediCare Plus,Healthcare,Pending,10018,27MEDCR7890Q4Z1
FinTrust Capital,Finance,Verified,10019,27FNTST2345R5Z2
RetailHub India,Retail,Verified,10020,27RTHUB1234F1Z5
DataEdge Analytics,IT Services,Flagged,10021,29DTEDG5678K2Z7
BrightFuture Academy,Education,Pending,10022,27BRFTR3456P3Z9
AgriCore Farms,Agriculture,Verified,10023,32AGCR7890Q4Z1
InnoSoft Labs,IT Services,Verified,10024,27INNST2345R5Z2
UrbanNest Realty,Real Estate,Pending,10025,29URBNN5678K2Z7
PureWater Systems,Manufacturing,Flagged,10026,33PWTR3456P3Z9
SmartEdu Pvt Ltd,Education,Verified,10027,27SMEDU7890Q4Z1
SafeBank Ltd,Finance,Verified,10028,27SFBNK2345R5Z2
QuickMart Retail,Retail,Pending,10029,27QKMRT1234F1Z5
NextGen IT Solutions,IT Services,Verified,10030,29NXGIT5678K2Z7
FarmFresh Organics,Agriculture,Flagged,10031,32FRFRS3456P3Z9
HealthFirst Clinics,Healthcare,Verified,10032,27HLTFR7890Q4Z1
SecurePay Fintech,Finance,Pending,10033,27SCRPY2345R5Z2
EduNova Academy,Education,Verified,10034,27EDNV1234F1Z5
BuildMax Constructions,Real Estate,Flagged,10035,29BLDMX5678K2Z7
AeroTech Systems,Manufacturing,Verified,10036,33ARTCH3456P3Z9
BrightMinds School,Education,Pending,10037,27BRMND7890Q4Z1
AgriNova Agro,Agriculture,Verified,10038,32AGRNV2345R5Z2
TechBridge Pvt Ltd,IT Services,Verified,10039,27TCHBR1234F1Z5
SafeHomes Realty,Real Estate,Pending,10040,29SFHMS5678K2Z7
