Company,Industry,Status,RegistrationNo,GSTNo
Verified_Company0 Pvt Ltd,Retail,Verified,10000,QBSBYZIX7FTD5CG
Verified_Company1 Pvt Ltd,Real Estate,Verified,10001,8PBBS4U989JL5QG
Verified_Company2 Pvt Ltd,Healthcare,Verified,10002,IWORFYYNXG23FB8
Verified_Company3 Pvt Ltd,IT Services,Verified,10003,OKLDUWN8AD744CF
Verified_Company4 Pvt Ltd,Retail,Verified,10004,KCM51YDSQS72N5B
Verified_Company5 Pvt Ltd,Agriculture,Verified,10005,6PVAA7S5ZE19EG0
Verified_Company6 Pvt Ltd,Agriculture,Verified,10006,VOKJW007U8T946C
Verified_Company7 Pvt Ltd,IT Services,Verified,10007,T2I8K37T637DEBG
Verified_Company8 Pvt Ltd,Telecom,Verified,10008,TSPDK4NZH9HK8HW
Verified_Company9 Pvt Ltd,Agriculture,Verified,10009,AN5JWCLV1R0ZP0G
Verified_Company10 Pvt Ltd,Agriculture,Verified,10010,HFE9GHBVRGUD34L
Verified_Company11 Pvt Ltd,Energy,Verified,10011,IXTAI4R2Y35X4GY
Verified_Company12 Pvt Ltd,Agriculture,Verified,10012,HH21OW7ZGWH8E3B
Verified_Company13 Pvt Ltd,Education,Verified,10013,VKLRQKH0NTDL32C
Verified_Company14 Pvt Ltd,Energy,Verified,10014,HB5NX3XIDVCH26I
Verified_Company15 Pvt Ltd,Telecom,Verified,10015,N7ILZQZA9QZ7BFC
Verified_Company16 Pvt Ltd,Telecom,Verified,10016,N12O6J9UOQ9AELY
Verified_Company17 Pvt Ltd,Telecom,Verified,10017,J3S7S0BJKXE5ZGW
Verified_Company18 Pvt Ltd,Retail,Verified,10018,K19NEKHCCH3B0XS
Verified_Company19 Pvt Ltd,Manufacturing,Verified,10019,CTVO4DUNOYWHLQ7
Verified_Company20 Pvt Ltd,Energy,Verified,10020,A2YKXSZXKP5KM2A
Verified_Company21 Pvt Ltd,Finance,Verified,10021,ZNJIVHFX3Q25OAD
Verified_Company22 Pvt Ltd,Manufacturing,Verified,10022,I1P6HRTUXEZ9E23
Verified_Company23 Pvt Ltd,IT Services,Verified,10023,4X0NE0J4BKBLOOR
Verified_Company24 Pvt Ltd,Energy,Verified,10024,8MXWGEY50B6DGTN
Verified_Company25 Pvt Ltd,Manufacturing,Verified,10025,OMNNLZOWFNONQDA
Verified_Company26 Pvt Ltd,Real Estate,Verified,10026,X2XPQN9GXIM833G
Verified_Company27 Pvt Ltd,Education,Verified,10027,W6UGBR1ELCEFEKT
Verified_Company28 Pvt Ltd,Energy,Verified,10028,7IG5BF5EB3DHIO2
Verified_Company29 Pvt Ltd,Education,Verified,10029,2ML7JQ9H9HD0KOY
Verified_Company30 Pvt Ltd,Energy,Verified,10030,S62L42308V67TQE
Verified_Company31 Pvt Ltd,Real Estate,Verified,10031,LLENJAFUSSMXD7F
Verified_Company32 Pvt Ltd,Telecom,Verified,10032,ITKOA3S5VJNRDHV
Verified_Company33 Pvt Ltd,Retail,Verified,10033,X8PCOH8Q5A18IFI
Verified_Company34 Pvt Ltd,Telecom,Verified,10034,A7PL681H37YQZTB
Verified_Company35 Pvt Ltd,IT Services,Verified,10035,BJO69OFW5Y46SAR
Verified_Company36 Pvt Ltd,Retail,Verified,10036,SPRZPPSQCAG2HY1
Verified_Company37 Pvt Ltd,Agriculture,Verified,10037,1Q714AYTRK6JQJK
Verified_Company38 Pvt Ltd,Manufacturing,Verified,10038,A39GIYV79I2LXQ2
Verified_Company39 Pvt Ltd,Healthcare,Verified,10039,6Q3S6PBTA1AX6U4
Verified_Company40 Pvt Ltd,IT Services,Verified,10040,SNYZRY6KEM5AOEL
Verified_Company41 Pvt Ltd,Telecom,Verified,10041,WT4A9LZHLHQWQ87
Verified_Company42 Pvt Ltd,Healthcare,Verified,10042,5MF8F9IAAQ30C58
Verified_Company43 Pvt Ltd,Energy,Verified,10043,RGMIUWP7IUPIIRE
Verified_Company44 Pvt Ltd,Retail,Verified,10044,SZ61CB7U9BDALXT
Verified_Company45 Pvt Ltd,Real Estate,Verified,10045,BZF46QM0PXP9D4X
Verified_Company46 Pvt Ltd,Retail,Verified,10046,N2XCZX6HU0E12XI
Verified_Company47 Pvt Ltd,Real Estate,Verified,10047,KYWGEC50EJX1GES
Verified_Company48 Pvt Ltd,Manufacturing,Verified,10048,730U1FQWJPWXIUA
Verified_Company49 Pvt Ltd,Real Estate,Verified,10049,UISYQC4LVKEZXAQ
Verified_Company50 Pvt Ltd,Education,Verified,10050,ZIGS74FGW4Q59X9
Verified_Company51 Pvt Ltd,IT Services,Verified,10051,WQXAZ2I02JO0SCO
Verified_Company52 Pvt Ltd,Healthcare,Verified,10052,QG3B0NVFPV2BL0F
Verified_Company53 Pvt Ltd,Real Estate,Verified,10053,RYACCYDORG1RGN9
Verified_Company54 Pvt Ltd,Agriculture,Verified,10054,ALCBGVI56HIEPGS
Verified_Company55 Pvt Ltd,Education,Verified,10055,PEUQKV1SRCBRSZD
Verified_Company56 Pvt Ltd,Real Estate,Verified,10056,HVI6XOIJ1L2BJ72
Verified_Company57 Pvt Ltd,Healthcare,Verified,10057,B36MZOVDPHWZXHV
Verified_Company58 Pvt Ltd,Telecom,Verified,10058,OYBK7110J90GAP3
Verified_Company59 Pvt Ltd,IT Services,Verified,10059,IS6BF90RNES57M9
